CDER Drug and Biologic Accelerated Approvals  Based on a Surrogate Endpoint,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,FOR THE TREATMENT OF NEWLY DIAGNOSED ADULT PATIENTS WITH NDA 021335
,,1/9/2004,,,,,,,,NDA 021492 ELOXATIN OXALIPLATIN SANOFI AVENTIS 6/24/2002 8/9/2002 1.5 Converted
,,3/20/2006,,,,,,,,NDA 021272 REMODULIN TREPROSTINIL SODIUM UNITED THERAPEUTICS 10/16/2000 5/21/2002 19.1 TREATMENT OF PULMONARY ARTERIAL HYPERTENSION Converted
,,,,,,,,,,FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY LOW-
,,,,,,,,,,"GRADE, FOLLICULAR, OR TRANSFORMED B-CELL NON-HODGKIN'S"
,,,,,,,,,,LYMPHOMA(NHL) OTHER THAN THOSE PATIENTS  WITH RITUXIMAB REFRACTORY
,,9/3/2009,,,,,,,,BLA 125019 ZEVALIN IBRITUMOMAB TIUXETAN SPECTRUM PHARMACEUTICALS 11/1/2000 2/19/2002 15.6 FOLLICULAR NHL Converted
,,,,,,,,,,FOR THE TREATMENT OF PATIENTS WITH KIT (CD117) POSITIVE UNRESECTABLE
,,,,,,,,,,AND/OR METASTATIC MALIGNANT GASTROINTESTINAL
,,,,,,,,,,NDA 021335 STROMAL TUMORS (GIST)
,,9/26/2008,,,,,,,,Supplement 1 GLEEVEC IMATINIB MESYLATE NOVARTIS PHARMACEUTICALS 10/16/2001 2/1/2002 3.6 Converted
,,,,,,,,,,TENOFOVIR DISOPROXIL
,,3/8/2006,,,,,,,,NDA 021356 VIREAD FUMARATE GILEAD SCIENCES 5/1/2001 10/26/2001 5.9 FOR THE TREATMENT OF HIV-1 INFECTION IN ADULTS Converted
,,,,,,,,,,FOR THE TREATMENT OF PATIENTS WITH CHRONIC MYELOID LEUKEMIA(CML) IN
,,,,,,,,,,"BLAST CRISIS, ACCELERATED PHASE, OR IN CHRONIC PHASE AFTER FAILURE OF"
,,12/8/2003,,,,,,,,NDA 021335 GLEEVEC IMATINIB MESYLATE NOVARTIS PHARMACEUTICALS 2/27/2001 5/10/2001 2.4 INTERFERON-ALPHA THERAPY Converted
,,,,,,,,,,FOR THE TREATMENT OF B-CELL CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL) IN
,,,,,,,,,,PATIENTS WHO HAVE BEEN TREATED WITH ALKYLATING AGENTS AND WHO HAVE
,,9/19/2007,,,,,,,,BLA 103948 CAMPATH ALEMTUZUMAB GEMZYME 12/23/1999 5/7/2001 16.5 FAILED FLUDARABINE THERAPY Converted
,,,,,,,,,,ABACAVIR SULFATE;
,,,,,,,,,,LAMIVUDINE; ALONE OR IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE
,,5/13/2005,,,,,,,,NDA 021205 TRIZIVIR ZIDOVUDINE VIIV HEALTHCARE 12/17/1999 11/14/2000 10.9 TREATMENT OF HIV-1 INFECTION Converted
,,,,,,,,,,IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT
,,,,,,,,,,KALETRA OF HIV-1 INFECTION IN ADULTS AND  PEDIATRIC PATIENTS AGE SIX MONTHS OR
,,11/27/2002,,,,,,,,NDA 021226 (capsules) LOPINAVIR: RITONAVIR ABBVIE 6/1/2000 9/15/2000 3.5 OLDER Converted
,,,,,,,,,,IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT
,,,,,,,,,,KALETRA OF HIV-1 INFECTION IN ADULTS AND  PEDIATRIC PATIENTS AGE SIX MONTHS OR
,,11/27/2002,,,,,,,,NDA 021251 (oral solution) LOPINAVIR: RITONAVIR ABBVIE 6/1/2000 9/15/2000 3.5 OLDER Converted
,,,,,,,,,,NDA 019858 Not Converted - Application
,,6/4/2004,,,,,,,,Supplement 21 CIPRO CIPROFLOXACIN BAYER HEALTHCARE PHARMACEUTICALS 3/2/2000 8/30/2000 6.0 FOR THE TREATMENT OF INHALATIONAL ANTHRAX (POST-EXPOSURE) Withdrawn
,,,,,,,,,,NDA 020780 Not Converted - Application
,,6/4/2004,,,,,,,,Supplement 8 CIPRO CIPROFLOXACIN BAYER HEALTHCARE PHARMACEUTICALS 3/2/2000 8/30/2000 6.0 FOR THE TREATMENT OF INHALATIONAL ANTHRAX (POST-EXPOSURE) Withdrawn
,,,,,,,,,,NDA 019537
,,1/7/2005,,,,,,,,Supplement 38 CIPRO CIPROFLOXACIN BAYER HEALTHCARE PHARMACEUTICALS 3/1/2000 8/30/2000 6.0 FOR THE TREATMENT OF INHALATIONAL ANTHRAX (POST-EXPOSURE) Converted
,,,,,,,,,,NDA 019847
,,1/7/2005,,,,,,,,Supplement 24 CIPRO CIPROFLOXACIN BAYER HEALTHCARE PHARMACEUTICALS 3/2/2000 8/30/2000 6.0 FOR THE TREATMENT OF INHALATIONAL ANTHRAX (POST-EXPOSURE) Converted
,,,,,,,,,,NDA 019857
,,1/7/2005,,,,,,,,Supplement 27 CIPRO CIPROFLOXACIN BAYER HEALTHCARE PHARMACEUTICALS 3/2/2000 8/30/2000 6.0 FOR THE TREATMENT OF INHALATIONAL ANTHRAX (POST-EXPOSURE) Converted
,,,,,,,,,,FOR THE TREATMENT OF PATIENTS WITH CD33 POSITIVE ACUTE MYELOID
,,11/28/2011,,,,,,,,Not Converted - Application ARE NOT CONSIDERED CANDIDATES FOR CYTOTOXIC CHEMOTHERAPYNDA 021174 MYLOTARG LEUKEMIA IN FIRST RELAPSE WHO ARE 60 YEARS OF AGE OR OLDER AND WHO GEMTUZUMAB OZOGAMICIN WYETH PHARMACEUTICALS 10/29/1999 5/17/2000 6.6 Withdrawn
,,,,,,,,,,TO REDUCE THE NUMBER OF  ADENOMATOUS COLORECTAL POLYPS IN FAMILIAL
,,,,,,,,,,"NDA 021156 ADENOMATOUS POLYPOSIS PATIENTS, AS AN ADJUNCT TO USUSAL CARE Not Converted - Indication"
,,6/8/2012,,,,,,,,Original 1 CELEBREX CELECOXIB GD SEARLE 6/25/1999 12/23/1999 6.0 Withdrawn
,,,,,,,,,,DALFOPRISTIN/QUINUPRI FOR THE TREATMENT OF VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM Not Converted - Application
,,11/12/2010 2,,,,,,,,NDA 050747 SYNERCID STIN KING PHARMACEUTICALS 9/5/1997 9/21/1999 7.8† (VREF) Withdrawn
,,,,,,,,,,FOR THE TREATMENT OF ADULT PATIENTS WITH REFRACTORY ANAPLASTIC
,,3/15/2005,,,,,,,,NDA 021029 TEMODAR TEMOZOLOMIDE MERCK SHARP & DOHME 8/13/1998 8/11/1999 11.9 ASTROCYTOMA Converted
,,,,,,,,,,FOR THE TREATMENT OF METASTATIC CARCINOMA OF THE OVARY IN PATIENTS
,,,,,,,,,,NDA 050718 DOXORUBICIN WITH DISEASE THAT IS REFRACTORY TO BOTH PACILTAXEL-AND PLATINUM-
,,1/28/2005,,,,,,,,Supplement 6 DOXIL HYDROCHLORIDE JANSSEN PRODUCTS LP 12/29/1998 6/28/1999 6.0 BASED CHEMOTHERAPY REGIMENS Converted
,,,,,,,,,,"AGENERASE IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, FOR THE TREATMENT"
,,5/11/2001,,,,,,,,NDA 021007 (capsules) AMPRENAVIR GLAXOSMITHKLINE 10/16/1998 4/15/1999 6.0 OF HIV-1 INFECTION Converted
,,,,,,,,,,"AGENERASE IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, FOR THE TREATMENT"
,,5/11/2001,,,,,,,,NDA 021039 (oral solution) AMPRENAVIR GLAXOSMITHKLINE 12/8/1998 4/15/1999 4.2 OF HIV-1 INFECTION Converted
,,4/19/2007,,,,,,,,NDA 021041 DEPOCYT CYTARABINE(liposomal) PACIRA PHARMACEUTICALS 10/5/1998 4/1/1999 5.9 FOR THE INTRATHECAL TREATMENT OF LYMPHOMATOUS MENINGITIS Converted
,,,,,,,,,,FOR THE TREATMENT OF PERSISTENT OR RECURRENT CUTANEOUS T-CELL
,,,,,,,,,,LYMPHOMA WHOSE MALIGNANT CELLS EXPRESS THE CD25 COMPONENT OF THE
,,10/15/2008,,,,,,,,BLA 103767 ONTAK DENILEUKIN DIFTITOX EISAI 12/9/1997 2/5/1999 13.9 IL-2 RECEPTOR Converted
"As of March 31, 2024",,,,,,,,,,
Total Approvals 310,,,,,,,,,,
NDA 020977,"ZIAGEN(tablets)",ABACAVIR SULFATE,VIIV HEALTHCARE,6/24/1998,12/17/1998,5.8,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, FOR THE TREATMENTOF HIV-1 INFECTION",Converted,4/15/2004,
NDA 020978,"ZIAGEN(oral solution)",ABACAVIR SULFATE,VIIV HEALTHCARE,6/24/1998,12/17/1998,5.8,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, FOR THE TREATMENTOF HIV-1 INFECTION",Converted,4/15/2004,
NDA 020972,SUSTIVA,EFAVIRENZ,BRISTOL MYERS SQUIBB,6/11/1998,9/17/1998,3.2,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS, FOR THE TREATMENTOF HIV-1 INFECTION",Converted,2/9/2000,
"NDA 020636Supplement 9",VIRAMUNE,NEVIRAPINE,"BOEHRINGER INGELHEIMPHARMACEUTICALS",3/16/1998,9/11/1998,5.9,"PROVIDES FOR AN ORAL SUSPENSION IN COMBINATION WITH OTHERANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION",Converted,3/27/2002,
NDA 020933,VIRAMUNE,NEVIRAPINE,"BOEHRINGER INGELHEIMPHARMACEUTICALS",4/20/1998,9/11/1998,4.7,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR TREATMENT OFHIV-1 INFECTION",Converted,3/27/2002,
BLA 103772,REMICADE,INFLIXIMAB,JANSSEN BIOTECH,12/30/1997,8/24/1998,7.8,"FOR THE TREATMENT OF MODERATELY TO SEVERELY ACTIVE CROHN'S DISEASEFOR THE REDUCTION OF THE SIGNS AND SYMPTOMS, IN PATIENTS WHO HAVE ANINADEQUATE RESPONSE TO CONVENTIONAL THERAPIES AND TREATMENT OFPATIENTS WITH FISTULIZING CROHN'S DISEASE FOR THE REDUCTION IN THENUMBER OF DRAINING ENTEROCUTANEOUS FISTULAS",Converted,4/1/2003,
NDA 021024,PRIFTIN,RIFAPENTINE,SANOFI AVENTIS,12/22/1997,6/22/1998,6.0,FOR THE TREATMENT OF PULMONARY TUBERCULOSIS,Converted,6/1/2009,
NDA 019832,SULFAMYLON,MAFENIDE ACETATE,MYLAN INSTITUTIONAL,3/31/1997,6/5/1998,14.2†,"FOR USE AS ADJUNCTIVE TOPICAL ANTIMICROBIAL AGENT TO CONTROLBACTERIAL INFECTION WHEN USED UNDER MOIST DRESSINGS OVER MESHEDAUTOGRAPFTS ON EXCISED BURN WOUNDS","Not Converted - ApplicationWithdrawn",11/30/2022,
NDA 020896,XELODA,CAPECITABINE,HOFFMAN LA ROCHE,10/31/1997,4/30/1998,6.0,"FOR THE TREATMENT OF METASTATIC BREAST CANCER RESISTANT TO BOTHPACILTAXEL AND AN ANTHRACYCLINE-CONTAINING CHEMOTHERAPY REGIMENOR RESISTANT TO PACILTAXEL AND FOR WHOM FURTHER ANTHRACYCLINETHERAPY AY BE CONTRAINDICATED",Converted,9/7/2001,
NDA 020705,RESCRIPTOR,DELAVIRDINE MESYLATE,VIIV HEALTHCARE,7/15/1996,4/4/1997,8.6,"FOR THE TREATMENT OF HIV-1 INFECTION IN COMBINATION WITH APPROPRIATEANTIRETROVIRAL AGENTS WHEN THERPAY IS WARRANTED",Converted,5/16/2001,
NDA 020778,"VIRACEPT(oral powder)",NELFINAVIR MESYLATE,AGOURON PHARMACEUTICALS,12/26/1996,3/14/1997,2.6,FOR THE TREATMENT OF HIV INFECTION WHEN THERAPY IS WARRANTED,Converted,5/17/2000,
NDA 020779,VIRACEPT (tablets),NELFINAVIR MESYLATE,AGOURON PHARMACEUTICALS,12/26/1996,3/14/1997,2.6,"FOR THE TREATMENT OF HIV INFECTION WHEN ANTIRETROVIRAL THERAPY ISWARRANTED",Converted,5/17/2000,
NDA 019815,PROAMATINE,"MIDODRINEHYDROCHLORIDE",SHIRE DEVELOPMENT,9/25/1995,9/6/1996,11.4†,FOR THE TREATMENT OF SYMPTOMATIC ORTHOSTATIC HYPROTENSION (OH),Not Yet Converted,,
NDA 020604,SEROSTIM,SOMATROPIN,EMD SERONO,9/11/1995,8/23/1996,11.4,FOR THE TREATMENT OF AIDS WASTING AND CACHEXIA,Converted,8/29/2003,
NDA 020636,VIRAMUNE,NEVIRAPINE,"BOEHRINGER INGELHEIMPHARMACEUTICALS",2/23/1996,6/21/1996,3.9,"IN COMBINATION WITH NUCLEOSIDE ANALOGUES  FOR THE TREATMENT OF  HIV-1 INFECTED ADULTS WHO HAVE EXPREIENCED CLINICAL AND/ORIMMUNOLOGICAL DETERIORATION",Converted,3/27/2002,
NDA 020571,CAMPTOSAR,"IRINOTECAN HCLTRIHYDROTE",PFIZER,12/28/1995,6/14/1996,5.6,"FOR THE TREATMENT OF METASTATIC CARCINOMA OF THE COLON OR RECTUMWHOSES DIEASE HAS PROGRESSED FOLLOWING 5-FU-BASED THERAPYC",Converted,10/22/1998,
NDA 020449,TAXOTERE,DOCETAXEL,SANOFI AVENTIS,7/27/1994,5/14/1996,21.6,"FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATICBREAST CARCINOMA WHO HAVE PROGRESSED DURING ANTHRACYCLINE-BASEDTHERAPY OR HAVE RELAPSED DURING ANTHRACYCLINE-BASED ADJUVANTTHERAPY",Converted,6/22/1998,
"NDA 020221Supplement 2",ETHYOL,AMIFOSTINE,CLINIGEN HEALTHCARE,2/9/1996,3/15/1996,1.2,"TO REDUCT CUMULATIVE RENAL TOXICITY ASSOCIATED WITH REPEATEDADMINSTATIONS OF CISPLATIN IN PATIENTS WITH  NON-SMALL CELL LUNGCANCER","Not Converted - IndicationWithdrawn",3/28/2006 3,
NDA 020685,CRIXIVAN,INDINAVIR SULFATE,MERCK SHARP & DOHME,1/31/1996,3/13/1996,1.4,"FOR THE TREATMENT OF HIV-1 INFECTION IN ADULTS WHEN THERAPY ISWARRANTED",Converted,2/6/1998,
NDA 020659,"NORVIR(oral solution)",RITONAVIR,ABBOTT LABORATORIES,12/21/1995,3/1/1996,2.3,"IN COMBINATION WITH NUCLEOSIDE ANALOGS OR AS MONOTHERPY FOR THETREATMENT OF HIV INFECTION WHEN THERAPY IS WARRANTED",Converted,5/26/1999,
NDA 020680,"NORVIR(oral solution)",RITONAVIR,ABBOTT LABORATORIES,12/21/1995,3/1/1996,2.3,"IN COMBINATION WITH NUCLEOSIDE ANALOGS OR AS MONOTHERPY FOR THETREATMENT OF HIV INFECTION WHEN THERAPY IS WARRANTED",Converted,5/26/1999,
NDA 020628,INVIRASE,SAQUINAVIR MESYLATE,HOFFMAN LA ROCHE,8/31/1995,12/6/1995,3.2,"IN COMBINATION WITH NUCLEOSIDE ANALOGS FOR THE TREATMENT OFADVANCED HIV INFECTION IN SELECTED PATIENTS",Converted,9/27/1996,
NDA 050718,DOXIL,"DOXORUBICINHYDROCHLORIDE",JANSSEN PRODUCTS LP,9/7/1994,11/17/1995,14.3,"FOR THE TREATMENT OF KAPOSI'S SARCOMA IN AIDS PATIENTS WITH DISEASETHAT HAS PROGRESSED ON PRIOR COMBINATION CHEMOTHERAPY OR INPATIENTS WHO ARE INTOLERANT TO SUCH THERAPY",Converted,6/10/2008,
NDA 020564,EPIVIR,LAMIVUDINE,VIIV HEALTHCARE,7/7/1995,11/17/1995,4.4,"IN COMBINATION WITH RETROVIR (ZIDOVUDINE) FOR THE TREATMENT OF HIVINFECTION WHEN THERAPY IS WARRANTED BASED ON CLINICAL AND/ORIMMUNOLOGICAL EVIDENCE OF DISEASE PROGRESSION",Converted,4/11/1997,
"As of March 31, 2024",,,,,,,,,,
Total Approvals 310,,,,,,,,,,
NDA 020596,EPIVIR,LAMIVUDINE,VIIV HEALTHCARE,7/7/1995,11/17/1995,4.4,"IN COMBINATION WITH RETROVIR (ZIDOVUDINE) FOR THE TREATMENT OF HIVINFECTION WHEN THERAPY IS WARRANTED BASED ON CLINICAL AND/ORIMMUNOLOGICAL EVIDENCE OF DISEASE PROGRESSION",Converted,4/11/1997,
NDA 020498,CASODEX,BICALUTAMIDE,ANI PHARMACEUTICALS,9/14/1994,10/4/1995,12.7,"IN COMBINATION THERAPY WITH AN LHRH ANALOGUE  FOR THE TREATMENT OFADVANCED PROSTATE CANCER",Converted,12/12/1997,
NDA 020212,ZINECARD,"DEXRAZOXANEHYDROCHLORIDE",PHARMACIA AND UPJOHN,8/5/1994,5/26/1995,9.7†,"FOR THE PREVENTION OF CARDIOMYOPATHY ASSOCIATED WITH DOXORUBICINADMINISTRATION",Converted,10/31/2002,
NDA 020412,ZERIT,STAVUDINE,BRISTOL MYERS SQUIBB,12/28/1993,6/24/1994,5.9,"FOR THE TREATMENT OF ADULT PATIENTS WITH ADVANCED HIV INFECTION WHOARE INTOLERANT OF APPROVED THERAPIES WITH PROVEN CLINICAL BENEFIT ORWHO HAVE EXPERIENCED SIGNIFICANT CLINICAL OR IMMUNOLOGICALDETERIORATION WHILE RECEIVING THESE THERAPIES OR FOR WHOM SUCHTHERAPIES ARE CONTRAINDICATED",Converted,12/21/1995,
"NDA 050697Original 1",BIAXIN,CLARITHROMYCIN,ABBVIE,11/2/1992,12/23/1993,13.7,"FOR THE TREATMENT OF DISSEMINATED MYCOBACTERIAL INFECTIONS DUE TOMYCOBACTERIUM AVIUM AND MYCOBACTERIUM INTRACELLULARE",Converted,5/24/2002,
NDA 050698,BIAXIN,CLARITHROMYCIN,ABBVIE,11/2/1992,12/23/1993,13.7,"FOR THE TREATMENT OF DISSEMINATED MYCOBACTERIAL INFECTIONS DUE TOMYCOBACTERIUM AVIUM AND MYCOBACTERIUM INTRACELLULARE",Converted,5/24/2002,
BLA 103471,BETASERON,INTERFERON BETA-1B,BAYER HEALTHCARE PHARMACEUTICALS,6/18/1992,7/23/1993,13.2,"USE IN AMBULATORY PATIENTS WITH RELAPSING-REMITTING MULTIPLESCLEROSIS TO REDUCE THE FREQUENCY OF CLINICAL EXACERBATIONS",Converted,3/14/2003,
NDA 020199,HIVID,ZALCITABINE,HOFFMAN LA ROCHE,10/31/1991,6/19/1992,7.6,"IN COMBINATION WITH ZIDOVUDINE FOR THE TREATMENT OF ADULT PATIENTSWITH ADVANCED HIV INFECTION (CD4 CELL COUNTS < 300 CELLS/MM3) WHOHAVE DEMONSTRATED SIGNIFICANT CLINICAL OR IMMUNOLOGICDETERIORATION",Converted,6/26/1996,
"†-- Total approval time was adjusted based on management decision.  This is a legacy practice and is no longer exercised.1. Proprietary name yet to be determined2. Federal Register Date, which may be different than applicant submission or FDA action date",,,,,,,,,,
3. Date of the labeling supplement approval that removed this indication,,,,,,,,,,
4. This accelerated approval is for a new dosing regimen that is applicable across multiple indications. See FDA Press Release of 8-APR-20 for more details,,,,,,,,,,
5. Indication withdrawn on 10-JUN-22,,,,,,,,,,
The Therapeutic Biologic Products transferred from CBER to CDER effective 1-Oct-03,,,,,,,,,,
,,,,,,,,,,
